1,Edilberto,Martinez,Uragama,1,edilberto234@gmail.com,M,2012-3-7,0,,,,,
2,Marleny,Castillo,Ruiz,1,marleny163@gmail.com,F,2012-7-20,0,,,,,
3,Carlos Antonio,Galvis,,1,carlosantonio786@gmail.com,M,2008-2-28,0,,,,,
4,Oswaldo,Benitez,,1,oswaldo432@gmail.com,M,2005-12-9,0,,,,,
5,Luis Daniel,Vargas,Atencia,1,luisdaniel640@gmail.com,M,2005-9-11,0,,,,,
6,Emmanuel,Gomez,Garizabalo,1,emmanuel891@gmail.com,M,2012-1-7,0,,,,,
7,Maria Romelia,Jorge,,1,mariaromelia578@gmail.com,F,2015-6-21,0,,,,,
8,Andres Leonardo,Arrieta,Rodriguez,1,andresleonardo402@gmail.com,M,2010-3-19,0,,,,,
9,Sarah,Narvaez,,1,sarah0@gmail.com,F,2011-1-20,0,,,,,
10,Jaime Antonio,Herrera,Rivera,1,jaimeantonio990@gmail.com,M,2012-12-23,0,,,,,
11,Maria Andrea,Alvarez,,1,mariaandrea371@gmail.com,F,2011-11-18,0,,,,,
12,Laura Isabella,Paternina,Gonzalez,1,lauraisabella213@gmail.com,F,2010-2-8,0,,,,,
13,Fernando Alonso,Gonzalez,,1,fernandoalonso133@gmail.com,M,2008-8-7,0,,,,,
14,Rodrigo Jesus,Diaz,,1,rodrigojesus857@gmail.com,M,2010-3-4,0,,,,,
15,Sandra Ximena,Mendivil,Feria,1,sandraximena288@gmail.com,F,2015-2-28,0,,,,,
16,Violeta,Ramos,Mercado,1,violeta931@gmail.com,F,2010-10-7,0,,,,,
17,Juan Nicolas,Santos,Arroyo,1,juannicolas824@gmail.com,M,2013-7-25,0,,,,,
18,John Anderson,Muã‘Oz,,1,johnanderson871@gmail.com,M,2011-10-18,0,,,,,
19,Jose Aldemar,Benitez,Martinez,1,josealdemar410@gmail.com,M,2012-1-8,0,,,,,
20,Cesar Mauricio,Montes,Pozo,1,cesarmauricio265@gmail.com,M,2004-7-1,0,,,,,
21,Maria Aracelly,Oviedo,,1,mariaaracelly818@gmail.com,F,2014-12-3,0,,,,,
22,Diego Mauricio,Vergara,Alvarez,1,diegomauricio351@gmail.com,M,2013-6-22,0,,,,,
23,Jhon Fredy,Ortiz,,1,jhonfredy793@gmail.com,M,2015-4-18,0,,,,,
24,Maria Irma,Alvarez,Feria,1,mariairma136@gmail.com,F,2008-1-1,0,,,,,
25,Yuri Andrea,Perdomo,,1,yuriandrea548@gmail.com,F,2010-6-17,0,,,,,
26,John Edison,Mercado,,1,johnedison96@gmail.com,M,2006-1-26,0,,,,,
27,Andres Jose,Rodriguez,,1,andresjose115@gmail.com,M,2007-10-8,0,,,,,
28,Silvana,Romero,Arrieta,1,silvana157@gmail.com,F,2008-10-26,0,,,,,
29,Jhon Fredy,Perez,,1,jhonfredy160@gmail.com,M,2011-9-20,0,,,,,
30,Blanca Nelly,Mercado,,1,blancanelly997@gmail.com,F,2015-12-22,0,,,,,
31,Oscar,Corrales,Zarate,1,oscar71@gmail.com,M,2013-11-2,0,,,,,
32,Paula Tatiana,Sequeda,Monterroza,1,paulatatiana917@gmail.com,F,2008-9-17,0,,,,,
33,Danna,Calderon,,1,danna328@gmail.com,F,2006-4-25,0,,,,,
34,Sergio Alberto,Sanchez,Contreras,1,sergioalberto31@gmail.com,M,2010-9-15,0,,,,,
35,Daniel Fernando,Castillo,Sencio,1,danielfernando784@gmail.com,M,2014-2-21,0,,,,,
36,Oscar Hernando,Benitez,,1,oscarhernando416@gmail.com,M,2006-2-9,0,,,,,
37,Luis Santiago,Clemente,,1,luissantiago514@gmail.com,M,2011-4-21,0,,,,,
38,Wilson Enrique,Sanchez,,1,wilsonenrique65@gmail.com,M,2010-8-23,0,,,,,
39,Karen Alejandra,Lidueã‘A,Cali,1,karenalejandra473@gmail.com,F,2013-7-8,0,,,,,
40,Christian Alberto,Carmona,,1,christianalberto665@gmail.com,M,2008-2-14,0,,,,,
41,Martha,Chamorro,Valle,1,martha101@gmail.com,F,2013-4-18,0,,,,,
42,Alba Rosa,Pineda,,1,albarosa39@gmail.com,F,2008-9-12,0,,,,,
43,Erica,Escaã‘O,,1,erica100@gmail.com,F,2008-11-26,0,,,,,
44,Mauricio Antonio,Diaz,Fonseca,1,mauricioantonio936@gmail.com,M,2008-1-1,0,,,,,
45,John James,Perez,,1,johnjames657@gmail.com,M,2008-8-17,0,,,,,
46,Ian,Gaviria,,1,ian652@gmail.com,M,2004-2-4,0,,,,,
47,Jose Diego,Montes,Jimenez,1,josediego385@gmail.com,M,2008-4-18,0,,,,,
48,Andres Sebastian,Camargo,,1,andressebastian882@gmail.com,M,2015-2-27,0,,,,,
49,Fernando Andres,Bettin,Guerra,1,fernandoandres154@gmail.com,M,2012-4-25,0,,,,,
50,Ana Silvia,Dominguez,,1,anasilvia479@gmail.com,F,2013-8-25,0,,,,,
51,Victor Raul,Posada,Hoyos,1,victorraul784@gmail.com,M,2014-2-15,0,,,,,
52,Lina Alejandra,Ozuna,,1,linaalejandra973@gmail.com,F,2010-8-17,0,,,,,
53,Laura Alexandra,Rodriguez,Piã‘Eres,1,lauraalexandra146@gmail.com,F,2005-12-28,0,,,,,
54,Sergio Alexander,Melendez,,1,sergioalexander391@gmail.com,M,2014-8-25,0,,,,,
55,Juan Guillermo,Vega,Martelo,1,juanguillermo606@gmail.com,M,2010-7-11,0,,,,,
56,Sandra Yulieth,Peinado,Aguas,1,sandrayulieth560@gmail.com,F,2008-8-17,0,,,,,
57,Cristian Javier,Clemente,,1,cristianjavier54@gmail.com,M,2006-6-15,0,,,,,
58,Sandra Eugenia,Sandoval,,1,sandraeugenia164@gmail.com,F,2015-9-14,0,,,,,
59,Hector Antonio,Narvaez,De Arrieta,1,hectorantonio903@gmail.com,M,2007-6-14,0,,,,,
60,Camilo Arturo,Montaã‘O,Paternina,1,camiloarturo332@gmail.com,M,2006-8-7,0,,,,,
61,Luisa Alejandra,Montes,Diaz,1,luisaalejandra147@gmail.com,F,2009-3-10,0,,,,,
62,Luis Eduardo,Guerra,,1,luiseduardo453@gmail.com,M,2006-11-23,0,,,,,
63,Lucas,Perez,Conde,1,lucas240@gmail.com,M,2015-8-21,0,,,,,
64,Mauricio Andres,De Paternina,Camargo,1,mauricioandres46@gmail.com,M,2013-4-6,0,,,,,
